state_id,county,label,locale
1,Autauga,Autauga ( AL ),AL | Autauga
1,Baldwin,Baldwin ( AL ),AL | Baldwin
1,Barbour,Barbour ( AL ),AL | Barbour
1,Bibb,Bibb ( AL ),AL | Bibb
1,Blount,Blount ( AL ),AL | Blount
1,Bullock,Bullock ( AL ),AL | Bullock
1,Butler,Butler ( AL ),AL | Butler
1,Calhoun,Calhoun ( AL ),AL | Calhoun
1,Chambers,Chambers ( AL ),AL | Chambers
1,Cherokee,Cherokee ( AL ),AL | Cherokee
1,Chilton,Chilton ( AL ),AL | Chilton
1,Choctaw,Choctaw ( AL ),AL | Choctaw
1,Clarke,Clarke ( AL ),AL | Clarke
1,Clay,Clay ( AL ),AL | Clay
1,Cleburne,Cleburne ( AL ),AL | Cleburne
1,Coffee,Coffee ( AL ),AL | Coffee
1,Colbert,Colbert ( AL ),AL | Colbert
1,Conecuh,Conecuh ( AL ),AL | Conecuh
1,Coosa,Coosa ( AL ),AL | Coosa
1,Covington,Covington ( AL ),AL | Covington
1,Crenshaw,Crenshaw ( AL ),AL | Crenshaw
1,Cullman,Cullman ( AL ),AL | Cullman
1,Dale,Dale ( AL ),AL | Dale
1,Dallas,Dallas ( AL ),AL | Dallas
1,DeKalb,DeKalb ( AL ),AL | DeKalb
1,Elmore,Elmore ( AL ),AL | Elmore
1,Escambia,Escambia ( AL ),AL | Escambia
1,Etowah,Etowah ( AL ),AL | Etowah
1,Fayette,Fayette ( AL ),AL | Fayette
1,Franklin,Franklin ( AL ),AL | Franklin
1,Geneva,Geneva ( AL ),AL | Geneva
1,Greene,Greene ( AL ),AL | Greene
1,Hale,Hale ( AL ),AL | Hale
1,Henry,Henry ( AL ),AL | Henry
1,Houston,Houston ( AL ),AL | Houston
1,Jackson,Jackson ( AL ),AL | Jackson
1,Jefferson,Jefferson ( AL ),AL | Jefferson
1,Lamar,Lamar ( AL ),AL | Lamar
1,Lauderdale,Lauderdale ( AL ),AL | Lauderdale
1,Lawrence,Lawrence ( AL ),AL | Lawrence
1,Lee,Lee ( AL ),AL | Lee
1,Limestone,Limestone ( AL ),AL | Limestone
1,Lowndes,Lowndes ( AL ),AL | Lowndes
1,Macon,Macon ( AL ),AL | Macon
1,Madison,Madison ( AL ),AL | Madison
1,Marengo,Marengo ( AL ),AL | Marengo
1,Marion,Marion ( AL ),AL | Marion
1,Marshall,Marshall ( AL ),AL | Marshall
1,Mobile,Mobile ( AL ),AL | Mobile
1,Monroe,Monroe ( AL ),AL | Monroe
1,Montgomery,Montgomery ( AL ),AL | Montgomery
1,Morgan,Morgan ( AL ),AL | Morgan
